Date,Cases,Relative Humidity
2020-03-01,20,48.894765
2020-03-02,14,64.492068
2020-03-03,22,48.064374
2020-03-04,34,43.923706
2020-03-05,74,35.40278
2020-03-06,105,45.231294
2020-03-07,95,35.869848
2020-03-08,121,43.003196
2020-03-09,200,81.174604
2020-03-10,271,81.473026
2020-03-11,287,69.201787
2020-03-12,351,56.158894
2020-03-13,511,61.377705
2020-03-14,777,90.184025
2020-03-15,823,88.621369
2020-03-16,887,90.596596
2020-03-17,1766,87.074852
2020-03-18,2988,92.078009
2020-03-19,4835,81.464596
2020-03-20,5374,61.329589
2020-03-21,7123,58.71103
2020-03-22,8459,73.615964
2020-03-23,11236,83.246419
2020-03-24,8789,75.254567
2020-03-25,13963,60.07656
2020-03-26,16797,81.579737
2020-03-27,18695,90.645992
2020-03-28,19979,90.629767
2020-03-29,18360,55.221222
2020-03-30,21595,47.778581
2020-03-31,24998,64.096723
2020-04-01,27103,55.851516
2020-04-02,28819,74.180118
2020-04-03,32425,68.323219
2020-04-04,34272,63.784757
2020-04-05,25398,66.126693
2020-04-06,30561,65.586502
2020-04-07,30613,42.954863
2020-04-08,33323,34.895429
2020-04-09,33901,41.928337
2020-04-10,35527,40.198124
2020-04-11,28391,43.614041
2020-04-12,27620,64.358752
2020-04-13,25023,45.467365
2020-04-14,26922,34.988798
2020-04-15,30148,43.425804
2020-04-16,31667,65.952654
2020-04-17,30833,69.288248
2020-04-18,32922,43.111168
2020-04-19,24601,46.780591
2020-04-20,28065,47.754636
2020-04-21,37289,38.444582
2020-04-22,17588,59.32863
2020-04-23,26543,50.738424
2020-04-24,21352,71.100387
2020-04-25,48529,58.194091
2020-04-26,26857,43.695517
2020-04-27,22541,45.200369
2020-04-28,24132,49.160531
2020-04-29,27326,49.584732
2020-04-30,29917,48.92712
2020-05-01,33955,43.54329
2020-05-02,29288,49.992052
2020-05-03,24972,48.308414
2020-05-04,22593,60.480978
2020-05-05,23841,51.189993
2020-05-06,24128,49.013542
2020-05-07,28369,59.893704
2020-05-08,26957,55.836546
2020-05-09,25612,48.678218
2020-05-10,20258,50.97301
2020-05-11,18117,57.614621
2020-05-12,22048,70.668123
2020-05-13,20782,85.945723
2020-05-14,27143,78.822504
2020-05-15,25508,63.150402
2020-05-16,24487,71.273313
2020-05-17,18873,69.280581
2020-05-18,21841,65.070965
2020-05-19,19970,67.204397
2020-05-20,23285,66.58806
2020-05-21,25434,79.346623
2020-05-22,24147,87.437962
2020-05-23,21236,79.517711
2020-05-24,20568,72.545516
2020-05-25,19064,88.147247
2020-05-26,18910,71.824718
2020-05-27,18721,66.640339
2020-05-28,21817,61.611472
2020-05-29,25337,49.900008
2020-05-30,23297,56.801154
2020-05-31,19807,58.304674
2020-06-01,21086,49.027839
2020-06-02,20544,53.721215
2020-06-03,19699,53.786608
2020-06-04,21140,59.227466
2020-06-05,25178,52.376359
2020-06-06,22223,57.504048
2020-06-07,22302,51.517734
2020-06-08,18822,50.843479
2020-06-09,18665,70.11244
2020-06-10,20614,58.914244
2020-06-11,22883,47.728442
2020-06-12,25639,48.526891
2020-06-13,25540,47.918446
2020-06-14,19543,38.356716
2020-06-15,19957,36.26191
2020-06-16,23705,42.420212
2020-06-17,25559,47.118318
2020-06-18,27762,51.372414
2020-06-19,29909,74.991794
2020-06-20,34158,73.789327
2020-06-21,25793,70.258488
2020-06-22,31390,66.168449
2020-06-23,34720,65.561878
2020-06-24,34339,60.420741
2020-06-25,40949,54.577388
2020-06-26,45527,53.11907
2020-06-27,42486,67.198334
2020-06-28,38673,65.924058
2020-06-29,41556,67.027097
2020-06-30,43880,64.45802
2020-07-01,52048,61.600611
2020-07-02,53399,72.104793
2020-07-03,54442,67.627
2020-07-04,45221,68.078902
2020-07-05,49093,70.384687
2020-07-06,49990,70.294632
2020-07-07,57473,66.231566
2020-07-08,58906,58.926374
2020-07-09,63004,64.126384
2020-07-10,66625,68.868129
2020-07-11,63051,68.93849
2020-07-12,57258,66.695258
2020-07-13,58114,62.906603
2020-07-14,68518,70.050226
2020-07-15,67717,74.986088
2020-07-16,76930,75.435506
2020-07-17,71494,69.914995
2020-07-18,63749,55.043575
2020-07-19,61796,68.37918
2020-07-20,56750,73.932485
2020-07-21,72048,74.224733
2020-07-22,68848,72.820243
2020-07-23,63196,71.196113
2020-07-24,78427,69.817786
2020-07-25,65498,63.345028
2020-07-26,55993,69.562292
2020-07-27,56243,80.571042
2020-07-28,61734,76.661067
2020-07-29,74985,76.699222
2020-07-30,68032,86.8285
2020-07-31,67023,71.773896
2020-08-01,58407,70.536918
2020-08-02,47511,66.075527
2020-08-03,45607,66.214093
2020-08-04,57525,70.704391
2020-08-05,52804,68.293893
2020-08-06,59755,72.406787
2020-08-07,58150,74.86055
2020-08-08,56221,68.819949
2020-08-09,46847,61.974586
2020-08-10,49530,59.162236
2020-08-11,46813,69.705873
2020-08-12,55941,61.144638
2020-08-13,51094,73.270256
2020-08-14,64838,75.641278
2020-08-15,48085,60.83607
2020-08-16,42104,66.188876
2020-08-17,35056,64.445707
2020-08-18,44091,63.211971
2020-08-19,47426,64.663548
2020-08-20,44005,59.172839
2020-08-21,49880,57.517661
2020-08-22,44378,61.610552
2020-08-23,34506,57.131137
2020-08-24,38298,50.329693
2020-08-25,38119,48.9694
2020-08-26,42848,47.12224
2020-08-27,45909,54.439784
2020-08-28,49654,58.479328
2020-08-29,44143,62.626785
2020-08-30,35581,71.117619
2020-08-31,33850,56.343009
2020-09-01,44639,63.659821
2020-09-02,38754,52.72979
2020-09-03,36249,46.52046
2020-09-04,51071,47.82782
2020-09-05,44140,55.783045
2020-09-06,30555,47.381775
2020-09-07,24250,55.774123
2020-09-08,27122,74.115392
2020-09-09,31927,88.425768
2020-09-10,37507,84.11676
2020-09-11,48061,82.814897
2020-09-12,40820,68.178065
2020-09-13,33871,58.314811
2020-09-14,34841,62.312414
2020-09-15,51473,65.756093
2020-09-16,24598,65.824638
2020-09-17,43567,68.021167
2020-09-18,50209,67.246077
2020-09-19,40295,63.976656
2020-09-20,39852,59.728897
2020-09-21,53153,55.595896
2020-09-22,38307,59.556942
2020-09-23,37930,67.583967
2020-09-24,44213,57.192364
2020-09-25,55013,53.080246
2020-09-26,45368,48.667654
2020-09-27,36248,47.48003
2020-09-28,32998,41.491647
2020-09-29,43017,37.894003
2020-09-30,41982,35.823735
2020-10-01,44771,36.948446
2020-10-02,54471,45.854731
2020-10-03,50659,55.648512
2020-10-04,34901,55.783286
2020-10-05,40705,42.037415
2020-10-06,43062,44.915884
2020-10-07,48182,35.531708
2020-10-08,56800,48.657486
2020-10-09,58082,43.341837
2020-10-10,54271,51.990269
2020-10-11,43597,59.10025
2020-10-12,41653,40.684649
2020-10-13,52517,31.974215
2020-10-14,59386,39.301103
2020-10-15,63785,45.632966
2020-10-16,70256,43.449738
2020-10-17,56611,34.970836
2020-10-18,47843,60.613802
2020-10-19,60160,54.988094
2020-10-20,58549,67.077363
2020-10-21,62978,80.66902
2020-10-22,72058,93.145563
2020-10-23,85329,74.321789
2020-10-24,83056,69.583644
2020-10-25,59440,76.795083
2020-10-26,68359,73.839326
2020-10-27,75129,64.003467
2020-10-28,78371,57.439434
2020-10-29,88130,62.264686
2020-10-30,101273,54.328692
2020-10-31,78934,49.529388
2020-11-01,81001,45.672325
2020-11-02,83883,41.179698
